unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
56280410-77df-4c7d-b694-276580156800-005ce6a4,6088356,Windows,קיפ ציר תחתון+ארגז תריס,100/120,1b4f8ace-2dc7-4966-bb27-f75fb52e423c-009bd32d,108,154,30,498960,"{5485.167802, 5451.868599, 219}","{0,1,0}",41972.11195,-
13e20904-4363-4433-bed6-c59cb5c6eadf-005cfa2d,6093357,Walls,Basic Wall,בטון 40,-,20,1030.5,40,824400,"{5767.078941, 3855.124917, 1505.25}","{-1,0,0}",750926.5174,-
13e20904-4363-4433-bed6-c59cb5c6eadf-005cfa30,6093360,Floors,Floor,בטון 60,-,60,1190.28988,40,2.86E+06,"{6342.723881, 3865.124917, 1017.0}","{0,1,0}",2.86E+06,-
13e20904-4363-4433-bed6-c59cb5c6eadf-005cfa37,6093367,Floors,Floor,בטון 60,-,60,1210.28988,44.95977,3.26E+06,"{6352.723881, 3867.60701, 2014.5}","{0,1,0}",3.14E+06,-
f62e5900-93b4-4c90-b3df-860711a44bed-005d2133,6103347,Walls,Basic Wall,בלוק 10,-,180,289.5,10,521100,"{5421.167802, 4856.650604, 509.75}","{-1,0,0}",521100,-
f62e5900-93b4-4c90-b3df-860711a44bed-005d2392,6103954,Furniture,Dining Table,60/140,-,140,45,60,378000,"{5095.53003, 5228.099623, 387.5}","{1,0,0}",56713.26224,-
f62e5900-93b4-4c90-b3df-860711a44bed-005d2394,6103956,Furniture,Basic Sofa,90,-,90,81.28,75,548640,"{5098.076615, 5075.150604, 405.64}","{0,-1,0}",287343.6444,-
f62e5900-93b4-4c90-b3df-860711a44bed-005d26b8,6104760,Furniture,Fauteuil,Fauteuil,-,76.092912,75.201238,59.643265,341295.5355,"{5009.14436, 5386.887424, 402.600619}","{-0.275637,0.961262,0}",102920.722,-
6408b11a-cad9-4b1b-b2f8-e21781a5f726-005d2f4d,6106957,Plumbing Fixtures,Shower Basin - 2D (Corner),Shower Basin - 2D (Corner),-,1,80,80,6400,"{6642.868821, 5229.650604, 2703}","{0,1,0}",6400,-
6408b11a-cad9-4b1b-b2f8-e21781a5f726-005d32c1,6107841,Walls,Basic Wall,בטון 22 + טיח חוץ אפור 3,-,317.5,25,25,198437.5,"{5925.383973, 4137.624917, 2851.25}","{0,-1,0}",193422.6794,-
5738fbc2-84a8-41b7-9872-e96aea9dc057-005d6dd4,6122964,Walls,Basic Wall,בטון 30+ 3 טיח חוץ אפור,-,15.474313,302.5,33,154472.331,"{5187.417802, 4554.387761, 2853.75}","{-1,0,0}",152592.5415,-
b23f0bcb-abec-41e7-a906-b06df7b8ee4f-005d76ad,6125229,Furniture,TV Cabinet,TV Cabinet,-,355.75,145,40,2.06E+06,"{5373.792802, 4541.124917, 2775.0}","{0,-1,0}",751094.9651,-
b23f0bcb-abec-41e7-a906-b06df7b8ee4f-005d76b4,6125236,Furniture,Dining Table + Chairs,200/90 6 CHAIR,-,200,92.154326,132.850503,2.45E+06,"{5679.883973, 4386.624917, 2748.577163}","{1,0,0}",438534.4426,-
b23f0bcb-abec-41e7-a906-b06df7b8ee4f-005d76d2,6125266,Doors,Wooden Door,80/210,6b96eb87-43e4-4af0-af67-bd6a1174201c-0088f6a2,80,210,10,168000,"{5593.167802, 5119.868599, 2807.5}","{-1,0,0}",96250,-
14174273-b404-4f8f-a416-ca3dfa56b425-005d7d60,6126944,Walls,Basic Wall,בלוק 10,-,355.75,307.5,10,1.09E+06,"{5373.792802, 4567.124917, 2856.25}","{0,-1,0}",1.09E+06,-
14174273-b404-4f8f-a416-ca3dfa56b425-005d7f72,6127474,Doors,Wooden Door,80/210,6465400d-3262-4b5e-9027-43900c154b18-006a7bea,80,210,10,168000,"{5546.667802, 4792.124917, 2807.5}","{-1,0,0}",96250,-
